method,n_seeds,avg_reward,std,SEM,cross_seed_std,inference_time_mean_ms,inference_time_std_ms,inference_time_median_ms,inference_time_min_ms,inference_time_max_ms,timed_steps,seeds
"Q3C CP-argmax (SN-off, cp=20, no refinement)",3,2631.1093,1901.4607,63.7870,110.4824,1.7335,0.5639,1.5443,1.3906,4.0582,50,"0,1,2"
"Q3C+CP-DFO (cp=100, 10 iters, +32 uniform safety)",4,2482.1560,1928.8145,106.1401,212.2802,18.5856,3.2250,18.2632,15.0076,33.4200,50,"1,2,3,4"
"Q3C + Langevin-100 (SN-off, cp=20)",3,2536.4434,1897.7187,57.6828,99.9096,52.8409,4.2934,52.2000,45.8845,63.1797,50,"0,1,2"
IBC paper-exact Langevin (100 iters × 512 samples),3,403.5387,966.4826,70.8928,122.7899,215.0735,21.1325,210.5660,189.2681,302.6813,50,"0,1,2"
dp_ddpm100,3,3049.5727,1914.7296,64.3437,111.4466,65.9706,2.8284,65.2456,62.4104,75.0593,50,"0,1,2"
dp_ddim5,3,3076.5230,1945.7135,38.6758,66.9885,4.8833,1.2423,4.2759,4.0237,9.2316,50,"0,1,2"
dp_ddim10,3,3001.2297,1976.3318,55.4830,96.0993,8.5902,0.9382,8.2864,7.7527,12.4757,50,"0,1,2"
dp_ddim25,3,3008.1428,1976.7389,34.5978,59.9252,21.3051,1.2617,21.1503,19.2355,24.7445,50,"0,1,2"
IBC paper-reported EBM (official quality; paper-exact timing),3,2586.0000,,,,215.0735,21.1325,210.5660,189.2681,302.6813,50,paper
