n_dim,method,obs_dim,action_dim,forward_passes,params_m,inference_time_ms,inference_median_ms,inference_std_ms,success_rate_pct,success_std_pct,success_seeds,success_source
2,BC-MSE,16,2,1,0.071,0.1084,0.0981,0.0218,99.0,,,IBC paper Fig 6 (digitized)
2,DP DDIM-10,16,2,10,1.794,6.0304,5.8143,0.6972,100.0,0.0,2,"dpParticleV2, 2 seeds x 50 eps"
2,DP DDPM-100,16,2,100,1.794,42.2514,42.3961,3.0689,98.0,0.0,2,"dpParticleDDPM reeval, 2 seeds x 50 eps"
16,BC-MSE,128,16,1,0.103,0.1158,0.1114,0.0182,3.0,,,IBC paper Fig 6 (digitized)
16,DP DDIM-10,128,16,10,1.937,6.5642,6.7248,0.5629,71.0,7.1,2,"dpParticleV2, 2 seeds x 50 eps"
16,DP DDPM-100,128,16,100,1.937,41.9545,42.1327,2.5521,67.0,7.1,2,"dpParticleDDPM reeval, 2 seeds x 50 eps"
