algorithm,inference,start_position,refine_iters,exec_horizon,checkpoint,metric,mean,std,n_trials,is_best
dp,ddim,bottom_right,10,4,i02_resnet18_2cam_k16_s29_175k,dist,234.38,0.099,2,
dp,ddim,bottom_right,10,8,i02_resnet18_2cam_k16_s29_175k,dist,231.035,0.3889,2,
dp,ddim,bottom_right,25,1,i02_resnet18_2cam_k16_s29_175k,dist,232.115,1.69,2,
dp,ddim,bottom_right,25,2,i02_resnet18_2cam_k16_s29_175k,dist,233.785,0.1909,2,
dp,ddim,bottom_right,25,4,i02_resnet18_2cam_k16_s29_175k,dist,232.63,2.1637,2,
dp,ddim,bottom_right,25,8,i02_resnet18_2cam_k16_s29_175k,dist,233.605,0.7707,2,
dp,ddim,turned_left,5,1,i02_resnet18_2cam_k16_s29_175k,dist,16.81,0.6081,2,yes
dp,ddim,turned_left,5,2,i02_resnet18_2cam_k16_s29_175k,dist,24.38,1.3435,2,
dp,ddim,turned_left,5,4,i02_resnet18_2cam_k16_s29_175k,dist,25.305,0.0778,2,
dp,ddim,turned_left,5,8,i02_resnet18_2cam_k16_s29_175k,dist,29.305,1.5627,2,
dp,ddim,turned_left,10,1,i02_resnet18_2cam_k16_s29_175k,dist,30.89,19.7283,2,
dp,ddim,turned_left,10,2,i02_resnet18_2cam_k16_s29_175k,dist,25.465,2.1284,2,
dp,ddim,turned_left,10,4,i02_resnet18_2cam_k16_s29_175k,dist,35.595,8.1671,2,
dp,ddim,turned_left,10,8,i02_resnet18_2cam_k16_s29_175k,dist,20.505,1.6193,2,
dp,ddim,turned_left,25,1,i02_resnet18_2cam_k16_s29_175k,dist,23.135,1.6476,2,
dp,ddim,turned_left,25,2,i02_resnet18_2cam_k16_s29_175k,dist,20.705,0.3041,2,
dp,ddim,turned_left,25,4,i02_resnet18_2cam_k16_s29_175k,dist,22.245,1.4637,2,
dp,ddim,turned_left,25,8,i02_resnet18_2cam_k16_s29_175k,dist,25.695,0.1485,2,
dp,ddim,turned_right,5,1,i02_resnet18_2cam_k16_s29_175k,dist,23.0967,8.3617,3,
dp,ddim,turned_right,5,2,i02_resnet18_2cam_k16_s29_175k,dist,13.415,3.7547,2,
dp,ddim,turned_right,5,4,i02_resnet18_2cam_k16_s29_175k,dist,14.355,2.5668,2,
dp,ddim,turned_right,5,8,i02_resnet18_2cam_k16_s29_175k,dist,21.33,6.6664,3,
dp,ddim,turned_right,10,1,i02_resnet18_2cam_k16_s29_175k,dist,15.065,2.0577,2,
dp,ddim,turned_right,10,2,i02_resnet18_2cam_k16_s29_175k,dist,13.475,6.668,2,
dp,ddim,turned_right,10,4,i02_resnet18_2cam_k16_s29_175k,dist,13.62,4.2709,2,
dp,ddim,turned_right,10,8,i02_resnet18_2cam_k16_s29_175k,dist,12.225,5.7488,2,
dp,ddim,turned_right,25,1,i02_resnet18_2cam_k16_s29_175k,dist,11.52,2.5173,2,
dp,ddim,turned_right,25,2,i02_resnet18_2cam_k16_s29_175k,dist,11.115,3.4295,2,
dp,ddim,turned_right,25,4,i02_resnet18_2cam_k16_s29_175k,dist,16.625,2.9345,2,
dp,ddim,turned_right,25,8,i02_resnet18_2cam_k16_s29_175k,dist,9.69,6.8872,2,yes
dp,ddim,upside_down,5,1,i02_resnet18_2cam_k16_s29_175k,dist,154.1767,71.6035,3,
dp,ddim,upside_down,5,2,i02_resnet18_2cam_k16_s29_175k,dist,150.5033,69.1013,3,yes
dp,ddim,upside_down,5,4,i02_resnet18_2cam_k16_s29_175k,dist,232.365,0.1061,2,
dp,ddim,upside_down,5,8,i02_resnet18_2cam_k16_s29_175k,dist,232.195,0.7566,2,
dp,ddim,upside_down,10,1,i02_resnet18_2cam_k16_s29_175k,dist,233.475,0.2051,2,
dp,ddim,upside_down,10,2,i02_resnet18_2cam_k16_s29_175k,dist,233.4667,0.6306,3,
dp,ddim,upside_down,10,4,i02_resnet18_2cam_k16_s29_175k,dist,233.47,0.297,2,
dp,ddim,upside_down,10,8,i02_resnet18_2cam_k16_s29_175k,dist,233.21,0.0849,2,
dp,ddim,upside_down,25,1,i02_resnet18_2cam_k16_s29_175k,dist,233.0967,0.195,3,
dp,ddim,upside_down,25,2,i02_resnet18_2cam_k16_s29_175k,dist,233.405,0.1344,2,
dp,ddim,upside_down,25,4,i02_resnet18_2cam_k16_s29_175k,dist,233.335,0.0778,2,
dp,ddim,upside_down,25,8,i02_resnet18_2cam_k16_s29_175k,dist,233.54,0.0566,2,
dp,ddpm,top,100,1,i02_resnet18_2cam_k16_s29_175k,dist,14.66,0.9475,2,
dp,ddpm,top,100,2,i02_resnet18_2cam_k16_s29_175k,dist,10.085,10.0056,2,yes
dp,ddpm,top,100,4,i02_resnet18_2cam_k16_s29_175k,dist,18.84,10.8753,2,
dp,ddpm,top,100,8,i02_resnet18_2cam_k16_s29_175k,dist,68.875,56.5332,2,
dp,ddpm,bottom,100,1,i02_resnet18_2cam_k16_s29_175k,dist,14.33,1.6829,2,yes
dp,ddpm,bottom,100,2,i02_resnet18_2cam_k16_s29_175k,dist,17.395,0.997,2,
dp,ddpm,bottom,100,4,i02_resnet18_2cam_k16_s29_175k,dist,22.255,9.0015,2,
dp,ddpm,bottom,100,8,i02_resnet18_2cam_k16_s29_175k,dist,16.155,3.4436,2,
dp,ddpm,left,100,1,i02_resnet18_2cam_k16_s29_175k,dist,19.94,4.3699,2,yes
dp,ddpm,left,100,2,i02_resnet18_2cam_k16_s29_175k,dist,27.265,7.5731,2,
dp,ddpm,left,100,4,i02_resnet18_2cam_k16_s29_175k,dist,20.24,0.0,2,
dp,ddpm,left,100,8,i02_resnet18_2cam_k16_s29_175k,dist,25.045,9.6237,2,
dp,ddpm,top_right,100,1,i02_resnet18_2cam_k16_s29_175k,dist,34.8,24.6497,2,
dp,ddpm,top_right,100,2,i02_resnet18_2cam_k16_s29_175k,dist,34.33,21.3405,2,
dp,ddpm,top_right,100,4,i02_resnet18_2cam_k16_s29_175k,dist,18.67,4.6245,2,yes
dp,ddpm,top_right,100,8,i02_resnet18_2cam_k16_s29_175k,dist,34.435,13.8522,2,
dp,ddpm,bottom_right,100,1,i02_resnet18_2cam_k16_s29_175k,dist,228.735,0.5869,2,yes
dp,ddpm,bottom_right,100,2,i02_resnet18_2cam_k16_s29_175k,dist,231.94,1.7253,2,
dp,ddpm,bottom_right,100,4,i02_resnet18_2cam_k16_s29_175k,dist,233.685,0.799,2,
dp,ddpm,bottom_right,100,8,i02_resnet18_2cam_k16_s29_175k,dist,232.39,1.5698,2,
dp,ddpm,turned_left,100,1,i02_resnet18_2cam_k16_s29_175k,dist,23.12,0.1838,2,yes
dp,ddpm,turned_left,100,2,i02_resnet18_2cam_k16_s29_175k,dist,23.55,0.1273,2,
dp,ddpm,turned_left,100,4,i02_resnet18_2cam_k16_s29_175k,dist,24.635,0.2899,2,
dp,ddpm,turned_left,100,8,i02_resnet18_2cam_k16_s29_175k,dist,27.8,1.8243,2,
dp,ddpm,turned_right,100,1,i02_resnet18_2cam_k16_s29_175k,dist,13.7,1.9375,2,
dp,ddpm,turned_right,100,2,i02_resnet18_2cam_k16_s29_175k,dist,13.405,4.3628,2,
dp,ddpm,turned_right,100,4,i02_resnet18_2cam_k16_s29_175k,dist,12.365,1.492,2,yes
dp,ddpm,turned_right,100,8,i02_resnet18_2cam_k16_s29_175k,dist,21.535,12.9188,2,
dp,ddpm,upside_down,100,1,i02_resnet18_2cam_k16_s29_175k,dist,233.14,0.5091,2,yes
dp,ddpm,upside_down,100,2,i02_resnet18_2cam_k16_s29_175k,dist,233.155,0.1626,2,
dp,ddpm,upside_down,100,4,i02_resnet18_2cam_k16_s29_175k,dist,233.275,0.3323,2,
dp,ddpm,upside_down,100,8,i02_resnet18_2cam_k16_s29_175k,dist,233.625,0.2758,2,
q3c,argmax,top,0,1,S02_shared_k16_s29,dist,6.935,2.8638,2,yes
q3c,argmax,top,0,2,S02_shared_k16_s29,dist,7.05,0.4384,2,
q3c,argmax,top,0,4,S02_shared_k16_s29,dist,9.625,1.8031,2,
q3c,argmax,top,0,8,S02_shared_k16_s29,dist,20.07,16.0796,2,
q3c,argmax,bottom,0,1,S02_shared_k16_s29,dist,149.43,205.2165,2,
q3c,argmax,bottom,0,2,S02_shared_k16_s29,dist,16.555,0.4172,2,
q3c,argmax,bottom,0,4,S02_shared_k16_s29,dist,6.425,5.6498,2,yes
q3c,argmax,bottom,0,8,S02_shared_k16_s29,dist,10.525,11.8582,2,
q3c,argmax,left,0,1,S02_shared_k16_s29,dist,6.585,6.1165,2,
q3c,argmax,left,0,2,S02_shared_k16_s29,dist,5.355,0.8556,2,
q3c,argmax,left,0,4,S02_shared_k16_s29,dist,3.29,1.2728,2,yes
q3c,argmax,left,0,8,S02_shared_k16_s29,dist,14.415,10.1187,2,
q3c,argmax,top_right,0,1,S02_shared_k16_s29,dist,13.365,11.5753,2,yes
q3c,argmax,top_right,0,2,S02_shared_k16_s29,dist,20.21,22.0052,2,
q3c,argmax,top_right,0,4,S02_shared_k16_s29,dist,81.7167,15.4461,3,
q3c,argmax,top_right,0,8,S02_shared_k16_s29,dist,65.895,52.4178,2,
q3c,argmax,bottom_right,0,1,S02_shared_k16_s29,dist,4.615,0.1768,2,yes
q3c,argmax,bottom_right,0,2,S02_shared_k16_s29,dist,18.4433,16.5799,3,
q3c,argmax,bottom_right,0,4,S02_shared_k16_s29,dist,306.225,63.8871,2,
q3c,argmax,bottom_right,0,8,S02_shared_k16_s29,dist,294.03,26.3892,2,
q3c,argmax,turned_left,0,1,S02_shared_k16_s29,dist,19.665,4.7164,2,
q3c,argmax,turned_left,0,2,S02_shared_k16_s29,dist,17.5067,12.6541,3,
q3c,argmax,turned_left,0,4,S02_shared_k16_s29,dist,5.295,5.2538,2,yes
q3c,argmax,turned_left,0,8,S02_shared_k16_s29,dist,30.115,27.16,2,
q3c,argmax,turned_right,0,1,S02_shared_k16_s29,dist,6.46,3.3093,2,yes
q3c,argmax,turned_right,0,2,S02_shared_k16_s29,dist,7.22,2.0789,2,
q3c,argmax,turned_right,0,4,S02_shared_k16_s29,dist,9.29,0.2828,2,
q3c,argmax,turned_right,0,8,S02_shared_k16_s29,dist,28.96,34.8886,2,
q3c,argmax,upside_down,0,1,S02_shared_k16_s29,dist,4.615,0.1768,2,yes
q3c,argmax,upside_down,0,2,S02_shared_k16_s29,dist,18.4433,16.5799,3,
q3c,argmax,upside_down,0,4,S02_shared_k16_s29,dist,306.225,63.8871,2,
q3c,argmax,upside_down,0,8,S02_shared_k16_s29,dist,294.03,26.3892,2,
q3c,argmax_fallback,top,5,1,S02_shared_k16_s29,dist,4.175,0.2192,2,yes
q3c,argmax_fallback,top,5,2,S02_shared_k16_s29,dist,4.98,1.0324,2,
q3c,argmax_fallback,top,5,4,S02_shared_k16_s29,dist,4.375,0.5303,2,
q3c,argmax_fallback,top,5,8,S02_shared_k16_s29,dist,4.315,2.9486,2,
q3c,argmax_fallback,bottom,5,1,S02_shared_k16_s29,dist,22.99,21.9345,2,
q3c,argmax_fallback,bottom,5,2,S02_shared_k16_s29,dist,4.91,2.1637,2,yes
q3c,argmax_fallback,bottom,5,4,S02_shared_k16_s29,dist,7.25,5.1336,2,
q3c,argmax_fallback,bottom,5,8,S02_shared_k16_s29,dist,10.575,8.7328,2,
q3c,argmax_fallback,left,5,1,S02_shared_k16_s29,dist,4.895,0.3748,2,
q3c,argmax_fallback,left,5,2,S02_shared_k16_s29,dist,4.885,1.2657,2,yes
q3c,argmax_fallback,left,5,4,S02_shared_k16_s29,dist,6.345,0.8556,2,
q3c,argmax_fallback,left,5,8,S02_shared_k16_s29,dist,5.94,1.0237,3,
q3c,argmax_fallback,top_right,5,1,S02_shared_k16_s29,dist,5.61,2.9133,2,
q3c,argmax_fallback,top_right,5,2,S02_shared_k16_s29,dist,3.5233,1.9089,3,yes
q3c,argmax_fallback,top_right,5,4,S02_shared_k16_s29,dist,54.57,25.7953,2,
q3c,argmax_fallback,top_right,5,8,S02_shared_k16_s29,dist,9.805,0.0071,2,
q3c,argmax_fallback,bottom_right,5,1,S02_shared_k16_s29,dist,22.59,19.1343,2,
q3c,argmax_fallback,bottom_right,5,2,S02_shared_k16_s29,dist,7.055,2.5244,2,
