algorithm,inference,start_position,refine_iters,exec_horizon,checkpoint,metric,mean,std,n_trials,is_best
q3c,argmax_fallback,top_right,5,1,L2c_ch16_scratch,cam1,0.9528,0.0116,3,
q3c,argmax_fallback,top_right,5,2,L2c_ch16_scratch,cam1,0.9667,0.0138,2,yes
q3c,argmax_fallback,top_right,5,4,L2c_ch16_scratch,cam1,0.9103,0.0972,3,
q3c,argmax_fallback,top_right,5,8,L2c_ch16_scratch,cam1,0.3937,0.1216,2,
q3c,argmax_fallback,bottom_right,5,1,L2c_ch16_scratch,cam1,0.9428,0.0232,3,yes
q3c,argmax_fallback,bottom_right,5,2,L2c_ch16_scratch,cam1,0.9253,0.0906,3,
q3c,argmax_fallback,bottom_right,5,4,L2c_ch16_scratch,cam1,0.8739,0.1402,3,
q3c,argmax_fallback,bottom_right,5,8,L2c_ch16_scratch,cam1,0.8836,0.0403,2,
q3c,argmax_fallback,turned_left,5,1,L2c_ch16_scratch,cam1,0.7188,0.0046,2,
q3c,argmax_fallback,turned_left,5,2,L2c_ch16_scratch,cam1,0.8755,0.1401,2,yes
q3c,argmax_fallback,turned_left,5,4,L2c_ch16_scratch,cam1,0.7169,0.0258,3,
q3c,argmax_fallback,turned_left,5,8,L2c_ch16_scratch,cam1,0.6459,0.0206,2,
q3c,argmax_fallback,turned_right,5,1,L2c_ch16_scratch,cam1,0.9227,0.0514,2,
q3c,argmax_fallback,turned_right,5,2,L2c_ch16_scratch,cam1,0.8841,0.0669,3,
q3c,argmax_fallback,turned_right,5,4,L2c_ch16_scratch,cam1,0.9725,0.0062,2,yes
q3c,argmax_fallback,turned_right,5,8,L2c_ch16_scratch,cam1,0.855,0.1257,2,
q3c,argmax_fallback,upside_down,5,1,L2c_ch16_scratch,cam1,0.3435,0.052,2,
q3c,argmax_fallback,upside_down,5,2,L2c_ch16_scratch,cam1,0.5077,0.0641,2,yes
q3c,argmax_fallback,upside_down,5,4,L2c_ch16_scratch,cam1,0.1886,0.0731,2,
q3c,argmax_fallback,upside_down,5,8,L2c_ch16_scratch,cam1,0.2396,0.0349,2,
q3c,dfo,top,5,1,L2c_ch16_scratch,cam1,0.979,0.0057,3,yes
q3c,dfo,top,10,1,L2c_ch16_scratch,cam1,0.8859,0.1705,4,
q3c,dfo,top,20,1,L2c_ch16_scratch,cam1,0.7054,0.275,3,
q3c,dfo,top,50,1,L2c_ch16_scratch,cam1,0.6393,0.3768,5,
q3c,dfo,bottom,5,1,L2c_ch16_scratch,cam1,0.7303,0.487,4,
q3c,dfo,bottom,10,1,L2c_ch16_scratch,cam1,0.9574,0.0314,4,yes
q3c,dfo,bottom,20,1,L2c_ch16_scratch,cam1,0.9326,0.0595,4,
q3c,dfo,bottom,50,1,L2c_ch16_scratch,cam1,0.7748,0.1882,4,
q3c,dfo,left,5,1,L1c_ch16_scratch|L2c_ch16_scratch,cam1,0.9525,0.0184,6,
q3c,dfo,left,10,1,L1c_ch16_scratch|L2c_ch16_scratch,cam1,0.9656,0.0093,6,yes
q3c,dfo,right,5,1,L1c_ch16_scratch|L2c_ch16_scratch,cam1,0.5199,0.0245,8,
q3c,dfo,right,10,1,L1c_ch16_scratch|L2c_ch16_scratch,cam1,0.5218,0.021,8,yes
q3c,dfo,top_right,5,1,L2c_ch16_scratch,cam1,0.9455,0.0137,3,
q3c,dfo,top_right,10,1,L2c_ch16_scratch,cam1,0.9754,0.0024,2,yes
q3c,dfo,bottom_right,5,1,L2c_ch16_scratch,cam1,0.9567,0.0056,3,yes
q3c,dfo,bottom_right,10,1,L2c_ch16_scratch,cam1,0.9222,0.0369,4,
