==========================================
SLURM_JOB_ID = 7928652
SLURM_JOB_NODELIST = d14-04
TMPDIR = /tmp/SLURM_7928652
==========================================
2026-04-13 13:17:22.320065: I tensorflow/core/platform/cpu_feature_guard.cc:210] This TensorFlow binary is optimized to use available CPU instructions in performance-critical operations.
To enable the following instructions: AVX2 AVX512F FMA, in other operations, rebuild TensorFlow with the appropriate compiler flags.
WARNING: All log messages before absl::InitializeLog() is called are written to STDERR
I0000 00:00:1776111446.641257  715579 gpu_device.cc:2020] Created device /job:localhost/replica:0/task:0/device:GPU:0 with 31134 MB memory:  -> device: 0, name: Tesla V100-PCIE-32GB, pci bus id: 0000:3b:00.0, compute capability: 7.0
2026-04-13 13:17:26.944817: I tensorflow/core/kernels/data/tf_record_dataset_op.cc:390] TFRecordDataset `buffer_size` is unspecified, default to 262144
2026-04-13 13:17:27.961029: I tensorflow/core/framework/local_rendezvous.cc:407] Local rendezvous is aborting with status: OUT_OF_RANGE: End of sequence
2026-04-13 13:17:28.998818: I tensorflow/core/framework/local_rendezvous.cc:407] Local rendezvous is aborting with status: OUT_OF_RANGE: End of sequence
2026-04-13 13:17:31.431839: I tensorflow/core/framework/local_rendezvous.cc:407] Local rendezvous is aborting with status: OUT_OF_RANGE: End of sequence
2026-04-13 13:17:35.948151: I tensorflow/core/framework/local_rendezvous.cc:407] Local rendezvous is aborting with status: OUT_OF_RANGE: End of sequence

======================================================================
DFO Trial 27
======================================================================
Params: {
  "TRAINING_STEPS": 100000,
  "BATCH_SIZE": 512,
  "LEARNING_RATE": 0.001,
  "LR_DECAY_RATE": 0.99,
  "LR_DECAY_STEPS": 100,
  "NUM_COUNTER_EXAMPLES": 16,
  "LANGEVIN_TRAIN_ITERATIONS": 100,
  "LANGEVIN_STEPSIZE_INIT": 0.1,
  "LANGEVIN_STEPSIZE_FINAL": 1e-05,
  "LANGEVIN_STEPSIZE_POWER": 2.0,
  "LANGEVIN_NOISE_SCALE": 1.0,
  "LANGEVIN_DELTA_ACTION_CLIP": 0.1,
  "GRADIENT_MARGIN": 1.0,
  "SOFTMAX_TEMPERATURE": 0.5,
  "UNIFORM_BOUNDARY_BUFFER": 0.05,
  "HIDDEN_DIMS": [
    256,
    256
  ]
}

  Training (100000 steps)...
  Using device: cuda
  n_dim=8, action_dim=8, frame_stack=2
  Steps=100000, LR=0.001, Temp=0.5
  Counter-examples=16, Langevin iters=100
  Model: [256, 256], Grad margin=1.0
  Dataset size: 102000
  Step 500/100000 | Loss: 2.6304 (NCE: 2.6188, GP: 0.0115) | Acc: 0.107 | LR: 9.51e-04 | 47.5s
  Step 1000/100000 | Loss: 2.5660 (NCE: 2.5458, GP: 0.0202) | Acc: 0.201 | LR: 9.04e-04 | 94.7s
  Step 1500/100000 | Loss: 2.5738 (NCE: 2.5490, GP: 0.0248) | Acc: 0.381 | LR: 8.60e-04 | 135.0s
  Step 2000/100000 | Loss: 2.5991 (NCE: 2.5747, GP: 0.0244) | Acc: 0.418 | LR: 8.18e-04 | 171.8s
  Step 2500/100000 | Loss: 2.5489 (NCE: 2.5256, GP: 0.0233) | Acc: 0.713 | LR: 7.78e-04 | 208.1s
  Step 3000/100000 | Loss: 2.5725 (NCE: 2.5495, GP: 0.0230) | Acc: 0.799 | LR: 7.40e-04 | 244.4s
  Step 3500/100000 | Loss: 2.5882 (NCE: 2.5660, GP: 0.0222) | Acc: 0.656 | LR: 7.03e-04 | 281.0s
  Step 4000/100000 | Loss: 2.5723 (NCE: 2.5499, GP: 0.0225) | Acc: 0.809 | LR: 6.69e-04 | 317.8s
  Step 4500/100000 | Loss: 2.5860 (NCE: 2.5627, GP: 0.0233) | Acc: 0.807 | LR: 6.36e-04 | 364.9s
  Step 5000/100000 | Loss: 2.5640 (NCE: 2.5417, GP: 0.0222) | Acc: 0.809 | LR: 6.05e-04 | 403.1s
  Step 5500/100000 | Loss: 2.5847 (NCE: 2.5627, GP: 0.0220) | Acc: 0.895 | LR: 5.75e-04 | 439.6s
  Step 6000/100000 | Loss: 2.5856 (NCE: 2.5637, GP: 0.0220) | Acc: 0.922 | LR: 5.47e-04 | 481.1s
  Step 6500/100000 | Loss: 2.5815 (NCE: 2.5602, GP: 0.0213) | Acc: 0.922 | LR: 5.20e-04 | 528.3s
  Step 7000/100000 | Loss: 2.5893 (NCE: 2.5654, GP: 0.0238) | Acc: 0.865 | LR: 4.95e-04 | 577.0s
  Step 7500/100000 | Loss: 2.5914 (NCE: 2.5687, GP: 0.0226) | Acc: 0.799 | LR: 4.71e-04 | 626.1s
  Step 8000/100000 | Loss: 2.5925 (NCE: 2.5697, GP: 0.0229) | Acc: 0.908 | LR: 4.48e-04 | 675.4s
  Step 8500/100000 | Loss: 2.6017 (NCE: 2.5803, GP: 0.0214) | Acc: 0.729 | LR: 4.26e-04 | 723.9s
  Step 9000/100000 | Loss: 2.5791 (NCE: 2.5579, GP: 0.0211) | Acc: 0.934 | LR: 4.05e-04 | 768.8s
  Step 9500/100000 | Loss: 2.5946 (NCE: 2.5738, GP: 0.0208) | Acc: 0.828 | LR: 3.85e-04 | 806.1s
