==========================================
Batch:   pushtWidowXdpCam1_resnet350k
Tag:     002
Node:    b05-10
JobId:   10590753
Start:   Sat Jul 25 23:39:32 PDT 2026
==========================================
Dataset:    /home1/halbertb/Q3CIBC/data/pusht_widowx_data.zip  (format=zarr_video)
Seed:       29   tag=e02_resnet18_s29_350k
Pred type:  v
Idle filter:drop_zero (eps=0.0)
Config:     /home1/halbertb/Q3CIBC/checkpoints/pusht_real_dp/e02_resnet18_s29_350k/config.json
Checkpoints:/home1/halbertb/Q3CIBC/checkpoints/pusht_real_dp/e02_resnet18_s29_350k
PushTWidowXVideoDataset: 150 episodes, 72988 frames, cameras=[1], frame_stack=2, action_chunk=1, action_shape=2, state_shape=(6, 240, 320), raw action range=[-0.008 -0.008] -> [0.008 0.008]
  split=train (15/150 episodes held out); idle_filter='drop_zero' -> 49981/72988 transitions kept (68.5%); zero-action share now 0.0%
PushTWidowXVideoDataset: 150 episodes, 72988 frames, cameras=[1], frame_stack=2, action_chunk=1, action_shape=2, state_shape=(6, 240, 320), raw action range=[-0.008 -0.008] -> [0.008 0.008]
  split=val (15/150 episodes held out); idle_filter='drop_zero' -> 5440/72988 transitions kept (7.5%); zero-action share now 0.0%
Held-out val: 5440 samples (10% of episodes, seed 0)
PixelDiffusionDenoiser (resnet18-imagenet x1cam + DenseResnet 1024x1, v-pred): 13,248,642 params
Training 350000 steps: batch=128, lr=0.0003 (cosine -> 1e-06), T=100 cosine, EMA 0.999
  Step 30000/350000 | Loss: 0.070601 | LR: 2.95e-04 | 11634.9s
  Step 30500/350000 | Loss: 0.071853 | LR: 2.94e-04 | 11828.3s
  Step 31000/350000 | Loss: 0.071626 | LR: 2.94e-04 | 12024.4s
  Step 31500/350000 | Loss: 0.070577 | LR: 2.94e-04 | 12220.1s
  Step 32000/350000 | Loss: 0.070207 | LR: 2.94e-04 | 12416.5s
  Step 32500/350000 | Loss: 0.069621 | LR: 2.94e-04 | 12613.1s
  Step 33000/350000 | Loss: 0.066548 | LR: 2.93e-04 | 12806.6s
  Step 33500/350000 | Loss: 0.067703 | LR: 2.93e-04 | 13002.2s
  Step 34000/350000 | Loss: 0.069099 | LR: 2.93e-04 | 13198.1s
  Step 34500/350000 | Loss: 0.070024 | LR: 2.93e-04 | 13387.3s
  Step 35000/350000 | Loss: 0.066903 | LR: 2.93e-04 | 13574.7s
  Step 35500/350000 | Loss: 0.065969 | LR: 2.92e-04 | 13766.9s
  Step 36000/350000 | Loss: 0.067330 | LR: 2.92e-04 | 13958.7s
  Step 36500/350000 | Loss: 0.067292 | LR: 2.92e-04 | 14151.9s
  Step 37000/350000 | Loss: 0.066452 | LR: 2.92e-04 | 14345.7s
  Step 37500/350000 | Loss: 0.066803 | LR: 2.92e-04 | 14538.8s
  Step 38000/350000 | Loss: 0.064481 | LR: 2.91e-04 | 14734.1s
  Step 38500/350000 | Loss: 0.064953 | LR: 2.91e-04 | 14929.6s
  Step 39000/350000 | Loss: 0.065387 | LR: 2.91e-04 | 15124.6s
  Step 39500/350000 | Loss: 0.061630 | LR: 2.91e-04 | 15318.1s
  Step 40000/350000 | Loss: 0.065154 | LR: 2.90e-04 | 15504.6s
  Step 40500/350000 | Loss: 0.064446 | LR: 2.90e-04 | 15693.6s
  Step 41000/350000 | Loss: 0.061960 | LR: 2.90e-04 | 15883.8s
  Step 41500/350000 | Loss: 0.064429 | LR: 2.90e-04 | 16074.3s
  Step 42000/350000 | Loss: 0.063653 | LR: 2.90e-04 | 16262.7s
  Step 42500/350000 | Loss: 0.060907 | LR: 2.89e-04 | 16452.8s
  Step 43000/350000 | Loss: 0.062882 | LR: 2.89e-04 | 16642.0s
  Step 43500/350000 | Loss: 0.059601 | LR: 2.89e-04 | 16825.8s
  Step 44000/350000 | Loss: 0.060393 | LR: 2.88e-04 | 17010.2s
  Step 44500/350000 | Loss: 0.059394 | LR: 2.88e-04 | 17197.9s
  Step 45000/350000 | Loss: 0.060356 | LR: 2.88e-04 | 17386.0s
  Step 45500/350000 | Loss: 0.059532 | LR: 2.88e-04 | 17576.5s
  Step 46000/350000 | Loss: 0.060243 | LR: 2.87e-04 | 17771.9s
  Step 46500/350000 | Loss: 0.059581 | LR: 2.87e-04 | 17966.3s
  Step 47000/350000 | Loss: 0.058912 | LR: 2.87e-04 | 18157.1s
  Step 47500/350000 | Loss: 0.058991 | LR: 2.87e-04 | 18350.2s
  Step 48000/350000 | Loss: 0.057361 | LR: 2.86e-04 | 18547.2s
  Step 48500/350000 | Loss: 0.056016 | LR: 2.86e-04 | 18740.6s
  Step 49000/350000 | Loss: 0.058645 | LR: 2.86e-04 | 18935.6s
  Step 49500/350000 | Loss: 0.055876 | LR: 2.85e-04 | 19128.5s
  Step 50000/350000 | Loss: 0.056484 | LR: 2.85e-04 | 19322.5s
  [val] step 50000/350000 | held-out sampled-action MAE (ddim5): 0.49912
  Step 50500/350000 | Loss: 0.057451 | LR: 2.85e-04 | 19539.2s
