==========================================
Batch:   pushtWidowXdpCam1_resnet350k
Tag:     001
Node:    a02-01
JobId:   10590752
Start:   Sat Jul 25 22:18:16 PDT 2026
==========================================
Dataset:    /home1/halbertb/Q3CIBC/data/pusht_widowx_data.zip  (format=zarr_video)
Seed:       11   tag=e01_resnet18_s11_350k
Pred type:  v
Idle filter:drop_zero (eps=0.0)
Config:     /home1/halbertb/Q3CIBC/checkpoints/pusht_real_dp/e01_resnet18_s11_350k/config.json
Checkpoints:/home1/halbertb/Q3CIBC/checkpoints/pusht_real_dp/e01_resnet18_s11_350k
PushTWidowXVideoDataset: 150 episodes, 72988 frames, cameras=[1], frame_stack=2, action_chunk=1, action_shape=2, state_shape=(6, 240, 320), raw action range=[-0.008 -0.008] -> [0.008 0.008]
  split=train (15/150 episodes held out); idle_filter='drop_zero' -> 49981/72988 transitions kept (68.5%); zero-action share now 0.0%
PushTWidowXVideoDataset: 150 episodes, 72988 frames, cameras=[1], frame_stack=2, action_chunk=1, action_shape=2, state_shape=(6, 240, 320), raw action range=[-0.008 -0.008] -> [0.008 0.008]
  split=val (15/150 episodes held out); idle_filter='drop_zero' -> 5440/72988 transitions kept (7.5%); zero-action share now 0.0%
Held-out val: 5440 samples (10% of episodes, seed 0)
PixelDiffusionDenoiser (resnet18-imagenet x1cam + DenseResnet 1024x1, v-pred): 13,248,642 params
Training 350000 steps: batch=128, lr=0.0003 (cosine -> 1e-06), T=100 cosine, EMA 0.999
  Step 30000/350000 | Loss: 0.072815 | LR: 2.95e-04 | 10878.8s
  Step 30500/350000 | Loss: 0.069407 | LR: 2.94e-04 | 11075.3s
  Step 31000/350000 | Loss: 0.070194 | LR: 2.94e-04 | 11270.6s
  Step 31500/350000 | Loss: 0.071692 | LR: 2.94e-04 | 11462.3s
  Step 32000/350000 | Loss: 0.069293 | LR: 2.94e-04 | 11653.8s
  Step 32500/350000 | Loss: 0.071028 | LR: 2.94e-04 | 11841.7s
  Step 33000/350000 | Loss: 0.068864 | LR: 2.93e-04 | 12028.5s
  Step 33500/350000 | Loss: 0.067350 | LR: 2.93e-04 | 12206.8s
  Step 34000/350000 | Loss: 0.068807 | LR: 2.93e-04 | 12372.4s
  Step 34500/350000 | Loss: 0.066602 | LR: 2.93e-04 | 12540.0s
  Step 35000/350000 | Loss: 0.067005 | LR: 2.93e-04 | 12707.6s
  Step 35500/350000 | Loss: 0.065164 | LR: 2.92e-04 | 12875.8s
  Step 36000/350000 | Loss: 0.066599 | LR: 2.92e-04 | 13043.2s
  Step 36500/350000 | Loss: 0.067239 | LR: 2.92e-04 | 13211.4s
  Step 37000/350000 | Loss: 0.068304 | LR: 2.92e-04 | 13378.5s
  Step 37500/350000 | Loss: 0.064775 | LR: 2.92e-04 | 13546.2s
  Step 38000/350000 | Loss: 0.064941 | LR: 2.91e-04 | 13721.0s
  Step 38500/350000 | Loss: 0.065636 | LR: 2.91e-04 | 13896.7s
  Step 39000/350000 | Loss: 0.064360 | LR: 2.91e-04 | 14072.0s
  Step 39500/350000 | Loss: 0.061673 | LR: 2.91e-04 | 14240.9s
  Step 40000/350000 | Loss: 0.062824 | LR: 2.90e-04 | 14412.1s
  Step 40500/350000 | Loss: 0.061061 | LR: 2.90e-04 | 14589.1s
  Step 41000/350000 | Loss: 0.060802 | LR: 2.90e-04 | 14765.2s
  Step 41500/350000 | Loss: 0.060758 | LR: 2.90e-04 | 14941.4s
  Step 42000/350000 | Loss: 0.061978 | LR: 2.90e-04 | 15120.9s
  Step 42500/350000 | Loss: 0.060960 | LR: 2.89e-04 | 15300.5s
  Step 43000/350000 | Loss: 0.060665 | LR: 2.89e-04 | 15481.8s
  Step 43500/350000 | Loss: 0.060168 | LR: 2.89e-04 | 15662.6s
  Step 44000/350000 | Loss: 0.060936 | LR: 2.88e-04 | 15843.4s
  Step 44500/350000 | Loss: 0.060160 | LR: 2.88e-04 | 16025.3s
  Step 45000/350000 | Loss: 0.058543 | LR: 2.88e-04 | 16205.0s
  Step 45500/350000 | Loss: 0.059479 | LR: 2.88e-04 | 16385.4s
  Step 46000/350000 | Loss: 0.060794 | LR: 2.87e-04 | 16565.2s
  Step 46500/350000 | Loss: 0.058293 | LR: 2.87e-04 | 16747.3s
  Step 47000/350000 | Loss: 0.058134 | LR: 2.87e-04 | 16928.5s
  Step 47500/350000 | Loss: 0.057675 | LR: 2.87e-04 | 17108.9s
  Step 48000/350000 | Loss: 0.058589 | LR: 2.86e-04 | 17290.8s
  Step 48500/350000 | Loss: 0.059142 | LR: 2.86e-04 | 17469.4s
